100KHz, Ref=550 
baseline consecutive 10
550.00,534.78,572.24,542.53,515.45,565.22,542.53,589.44,515.45,565.22,529.03,529.03,497.13,565.22,529.03,572.24,550.00,572.24,550.00,589.44,529.03,572.24,572.24,529.03,542.53,589.44,534.78,589.44,589.44,550.00,515.45,565.22,529.03,515.45,497.13,565.22,589.44,580.27,572.24,550.00,
550.00,534.78,550.00,572.24,515.45,565.22,534.78,572.24,529.03,589.44,515.45,515.45,572.24,565.22,542.53,565.22,529.03,565.22,550.00,572.24,497.13,589.44,534.78,565.22,534.78,565.22,550.00,550.00,550.00,572.24,565.22,534.78,529.03,515.45,497.13,589.44,550.00,589.44,550.00,515.45,
529.03,515.45,515.45,515.45,529.03,555.15,534.78,565.22,589.44,589.44,534.78,509.29,529.03,550.00,529.03,550.00,515.45,589.44,529.03,565.22,529.03,572.24,497.13,550.00,550.00,589.44,529.03,589.44,572.24,565.22,572.24,550.00,519.68,529.03,497.13,565.22,550.00,572.24,555.15,534.78,
529.03,529.03,572.24,550.00,550.00,550.00,572.24,572.24,550.00,550.00,550.00,550.00,529.03,589.44,529.03,589.44,519.68,565.22,529.03,589.44,534.78,529.03,550.00,550.00,572.24,589.44,542.53,589.44,565.22,565.22,572.24,534.78,515.45,515.45,534.78,534.78,589.44,565.22,550.00,572.24,
550.00,529.03,534.78,550.00,534.78,550.00,550.00,550.00,550.00,565.22,529.03,534.78,529.03,572.24,534.78,565.22,565.22,580.27,534.78,589.44,509.29,572.24,550.00,529.03,572.24,589.44,550.00,589.44,589.44,550.00,550.00,550.00,529.03,515.45,515.45,565.22,542.53,550.00,565.22,572.24,
534.78,534.78,550.00,509.29,515.45,550.00,550.00,572.24,542.53,589.44,529.03,529.03,515.45,550.00,550.00,550.00,515.45,589.44,550.00,589.44,515.45,550.00,550.00,529.03,572.24,565.22,534.78,565.22,542.53,555.15,565.22,542.53,529.03,529.03,534.78,589.44,565.22,550.00,534.78,565.22,
515.45,534.78,534.78,534.78,550.00,589.44,515.45,550.00,529.03,615.27,519.68,542.53,484.93,565.22,550.00,565.22,515.45,580.27,529.03,572.24,509.29,565.22,572.24,534.78,550.00,550.00,534.78,589.44,529.03,550.00,542.53,529.03,515.45,497.13,534.78,550.00,555.15,580.27,515.45,542.53,
550.00,550.00,534.78,534.78,497.13,550.00,534.78,550.00,550.00,550.00,515.45,519.68,542.53,565.22,515.45,572.24,529.03,572.24,534.78,550.00,509.29,550.00,534.78,615.27,572.24,550.00,534.78,565.22,572.24,565.22,534.78,534.78,542.53,515.45,534.78,550.00,550.00,572.24,550.00,534.78,
550.00,515.45,534.78,529.03,515.45,550.00,542.53,565.22,534.78,572.24,529.03,529.03,515.45,565.22,534.78,565.22,529.03,565.22,529.03,589.44,529.03,589.44,534.78,572.24,550.00,589.44,542.53,529.03,589.44,565.22,529.03,572.24,515.45,515.45,515.45,572.24,572.24,550.00,550.00,542.53,
565.22,572.24,501.89,529.03,529.03,550.00,572.24,572.24,529.03,550.00,509.29,565.22,484.93,589.44,550.00,589.44,529.03,589.44,550.00,572.24,529.03,565.22,529.03,534.78,550.00,565.22,565.22,589.44,565.22,589.44,534.78,515.45,529.03,509.29,534.78,550.00,550.00,589.44,515.45,565.22,
550.00,550.00,550.00,515.45,529.03,550.00,534.78,542.53,542.53,550.00,550.00,529.03,534.78,550.00,550.00,565.22,529.03,589.44,555.15,565.22,529.03,589.44,550.00,550.00,555.15,565.22,515.45,565.22,565.22,565.22,529.03,550.00,484.93,550.00,529.03,550.00,572.24,550.00,555.15,565.22,

penn dritto centro 10
550.00,550.00,515.45,550.00,550.00,550.00,572.24,572.24,550.00,550.00,550.00,550.00,515.45,589.44,550.00,572.24,550.00,565.22,550.00,572.24,501.89,565.22,534.78,550.00,550.00,550.00,555.81,565.22,565.22,565.22,529.03,550.00,534.78,529.03,529.03,589.44,572.24,565.22,565.22,542.53,
550.00,515.45,529.03,550.00,515.45,550.00,550.00,565.22,529.03,550.00,515.45,550.00,515.45,572.24,542.53,589.44,534.78,565.22,550.00,589.44,529.03,565.22,572.24,550.00,565.22,572.24,589.44,606.57,589.44,550.00,550.00,589.44,534.78,529.03,515.45,565.22,580.27,550.00,589.44,565.22,
550.00,515.45,534.78,515.45,534.78,565.22,550.00,550.00,550.00,589.44,550.00,509.29,550.00,572.24,550.00,550.00,529.03,589.44,550.00,572.24,515.45,542.53,519.68,565.22,550.00,565.22,542.53,550.00,565.22,550.00,542.53,550.00,515.45,497.13,515.45,565.22,519.68,589.44,550.00,550.00,
